nama_perusahaan,komoditas,satuan,tahun,nilai
"Aneka Tambang Tbk, PT",Ferro nickel,mt,2004,36122
"Aneka Tambang Tbk, PT",Ni In Fe Ni,ton,2004,7157
"Aneka Tambang Tbk, PT",Gold,kg,2004,1595
"Aneka Tambang Tbk, PT",Silver,kg,2004,5347
"Aneka Tambang Tbk, PT",Bauxite,mt,2004,1326559
"Aneka Tambang Tbk, PT",Iron sand,wmt,2004,103328
"Aneka Tambang Tbk, PT",Nickel ore,wmt,2005,2688477
"Aneka Tambang Tbk, PT",Ferro nickel,mt,2005,24463
"Aneka Tambang Tbk, PT",Ni In Fe Ni,ton,2005,4930
"Aneka Tambang Tbk, PT",Gold,kg,2005,753
"Aneka Tambang Tbk, PT",Silver,kg,2005,9257
"Aneka Tambang Tbk, PT",Bauxite,mt,2005,1039380
"Aneka Tambang Tbk, PT",Iron sand,wmt,2005,
"Aneka Tambang Tbk, PT",Nickel ore,wmt,2006,4309134
"Aneka Tambang Tbk, PT",Ferro nickel,mt,2006,
"Aneka Tambang Tbk, PT",Ni In Fe Ni,ton,2006,13389
"Aneka Tambang Tbk, PT",Gold,kg,2006,1458
"Aneka Tambang Tbk, PT",Silver,kg,2006,8098
"Aneka Tambang Tbk, PT",Bauxite,mt,2006,1536542
"Aneka Tambang Tbk, PT",Iron sand,wmt,2006,
"Aneka Tambang Tbk, PT",Nickel ore,wmt,2007,6907459
"Aneka Tambang Tbk, PT",Ferro nickel,mt,2007,
"Aneka Tambang Tbk, PT",Ni In Fe Ni,ton,2007,17548
"Aneka Tambang Tbk, PT",Gold,kg,2007,5000
"Aneka Tambang Tbk, PT",Silver,kg,2007,26968
"Aneka Tambang Tbk, PT",Bauxite,mt,2007,964282
"Aneka Tambang Tbk, PT",Iron sand,wmt,2007,
"Aneka Tambang Tbk, PT",Nickel ore,wmt,2008,5342924
"Aneka Tambang Tbk, PT",Ferro nickel,mt,2008,
"Aneka Tambang Tbk, PT",Ni In Fe Ni,ton,2008,17025
"Aneka Tambang Tbk, PT",Gold,kg,2008,9441
"Aneka Tambang Tbk, PT",Silver,kg,2008,34342
"Aneka Tambang Tbk, PT",Bauxite,mt,2008,893088
"Aneka Tambang Tbk, PT",Iron sand,wmt,2008,
"Aneka Tambang Tbk, PT",Nickel ore,wmt,2009,4901699
"Aneka Tambang Tbk, PT",Ferro nickel,mt,2009,
"Aneka Tambang Tbk, PT",Ni In Fe Ni,ton,2009,14191
"Aneka Tambang Tbk, PT",Gold,kg,2009,12893
"Aneka Tambang Tbk, PT",Silver,kg,2009,87188
"Aneka Tambang Tbk, PT",Bauxite,mt,2009,445662
"Aneka Tambang Tbk, PT",Iron sand,wmt,2009,
"Aneka Tambang Tbk, PT",Nickel ore,wmt,2010,
